country,country_iso2,document_type,title,year,document_url,source_filename,path_pdf,path_md,sha256,md5,size_bytes,page_count,ocr_reader
,,Law,Law of National Languages - 2003,2003,https://media.unesco.org/sites/default/files/webform/r2e002/1fb359b9164c690e1547dc8a0d591a933a221389.pdf,1fb359b9164c690e1547dc8a0d591a933a221389.pdf,documents/_unknown-country/r2e002/1fb359b9164c690e1547dc8a0d591a933a221389/document.pdf,documents/_unknown-country/r2e002/1fb359b9164c690e1547dc8a0d591a933a221389/document.md,f46da101dd0a07c9d3695df6690c18b3e6d42d9cda7fb49cd2745604619ae83a,9128bd5c37286ecdee43d38bdcb2aed4,1317601,5,reducto
,,Programme/plan,Plan d'action nationale de l'Education pour tous - 2007,2007,https://media.unesco.org/sites/default/files/webform/r2e002/326a728086d89e39149a2582b78744a968cf48de.pdf,326a728086d89e39149a2582b78744a968cf48de.pdf,documents/_unknown-country/r2e002/326a728086d89e39149a2582b78744a968cf48de/document.pdf,documents/_unknown-country/r2e002/326a728086d89e39149a2582b78744a968cf48de/document.md,a6eb8323270342e96fd0b6ad0e5b62b6c52aaeaac2ca921f907bad4682873836,69486544d856d933a04e36785f1b7f21,7248629,117,llamaparse
,,Law,Law of Education - 2008,2008,https://media.unesco.org/sites/default/files/webform/r2e002/58baed0210eec2bac6760c53f1316bfa470a2e99.pdf,58baed0210eec2bac6760c53f1316bfa470a2e99.pdf,documents/_unknown-country/r2e002/58baed0210eec2bac6760c53f1316bfa470a2e99/document.pdf,documents/_unknown-country/r2e002/58baed0210eec2bac6760c53f1316bfa470a2e99/document.md,f978bab37f278634f0ec184d7bd3a30468db52718322f703c58d393ab1d0e17b,ae12a24a10dda61c4f327b627199148e,13511367,60,reducto
,,Law,The Education and Training of Children with Special Needs Law - 1999,1999,https://media.unesco.org/sites/default/files/webform/r2e002/85f986e6f48551f0d7e86d81774cdbdd98c9cb45.pdf,85f986e6f48551f0d7e86d81774cdbdd98c9cb45.pdf,documents/_unknown-country/r2e002/85f986e6f48551f0d7e86d81774cdbdd98c9cb45/document.pdf,documents/_unknown-country/r2e002/85f986e6f48551f0d7e86d81774cdbdd98c9cb45/document.md,921110e534cfd5487778b56e15f80e33b224d647a1680060ed796dbb96c9355c,76bda5645e64b60692f688df45985bee,1891776,30,llamaparse
,,Law,Loi portant orientation de l'Education nationale en République du Bénin - 2003,2003,https://media.unesco.org/sites/default/files/webform/r2e002/e706393706bef7affd68cf7b2a46f1c8ab601d14.pdf,e706393706bef7affd68cf7b2a46f1c8ab601d14.pdf,documents/_unknown-country/r2e002/e706393706bef7affd68cf7b2a46f1c8ab601d14/document.pdf,documents/_unknown-country/r2e002/e706393706bef7affd68cf7b2a46f1c8ab601d14/document.md,ca15a0deca70645d5ed7a6d1c3a38d5343c3390cf3223755ebb83b32dcb89378,0e4bae5704a3c5cd369d79560a2bc64a,574412,12,unstructured
Afghanistan,AF,Programme/plan,Policy Guidelines for Community-Based Education 2012,2012,https://media.unesco.org/sites/default/files/webform/r2e002/1b4f5b9e04664bdeec52861ccdf89c096283bc41.pdf,1b4f5b9e04664bdeec52861ccdf89c096283bc41.pdf,documents/afghanistan/r2e002/1b4f5b9e04664bdeec52861ccdf89c096283bc41/document.pdf,documents/afghanistan/r2e002/1b4f5b9e04664bdeec52861ccdf89c096283bc41/document.md,967c7ad15248e5ff245e5a802d929e4f7ca30c5acd22e3fc2a963f3bca7192cc,8365862fedcc9b1c10855bb77dfa37bc,2344691,26,unstructured
Albania,AL,Law,Law on Vocational Education and Training - 2002,2002,https://media.unesco.org/sites/default/files/webform/r2e002/0631c59ee5ee998799fdc011ffa87e33aa081dda.pdf,0631c59ee5ee998799fdc011ffa87e33aa081dda.pdf,documents/albania/r2e002/0631c59ee5ee998799fdc011ffa87e33aa081dda/document.pdf,documents/albania/r2e002/0631c59ee5ee998799fdc011ffa87e33aa081dda/document.md,3f8bf9d2cdb6900ab2995bd7c3e885b67f32998da8440c7326dd5f7a2a56ad2c,e13b2b8c598d2017b4d0dae057b61c67,149166,14,docling+structure-repair
Albania,AL,Law,Higher Education Law,nan,https://media.unesco.org/sites/default/files/webform/r2e002/6cebc7412d59723c9a8d3268b3ab37e0d49ce3eb.pdf,6cebc7412d59723c9a8d3268b3ab37e0d49ce3eb.pdf,documents/albania/r2e002/6cebc7412d59723c9a8d3268b3ab37e0d49ce3eb/document.pdf,documents/albania/r2e002/6cebc7412d59723c9a8d3268b3ab37e0d49ce3eb/document.md,e32a1eaf9213299b996c964af9291ae646a92242a31145d4fc9ce74982a3410e,91fbd77d3ecd49738adc70e56455a696,381616,49,docling+structure-repair
Albania,AL,Constitution,Constitution of Albania - 1998 (as amended in 2012),2012,https://media.unesco.org/sites/default/files/webform/r2e002/93f56fca05a834fd2d93a5f50f0416979c35a083.pdf,93f56fca05a834fd2d93a5f50f0416979c35a083.pdf,documents/albania/r2e002/93f56fca05a834fd2d93a5f50f0416979c35a083/document.pdf,documents/albania/r2e002/93f56fca05a834fd2d93a5f50f0416979c35a083/document.md,cd317898679d5814401d3a37d6033c91127b76022765f0ceb3fb0a06ebcb1ed4,27657796312890f2eac0e0643dae1a56,265512,29,docling+structure-repair
Albania,AL,Law,Law on pre-university education,nan,https://media.unesco.org/sites/default/files/webform/r2e002/96e815865a589a8c29805e2a03be245917210a9d.pdf,96e815865a589a8c29805e2a03be245917210a9d.pdf,documents/albania/r2e002/96e815865a589a8c29805e2a03be245917210a9d/document.pdf,documents/albania/r2e002/96e815865a589a8c29805e2a03be245917210a9d/document.md,bc334740a1b7b47e2c2e642148b37aec9db7bae9fdd968c34a65a7b7b79973df,02a8c7b55cc97ebac3a84a90b8f74741,303366,25,docling+structure-repair
